,propietario_casa,cant_carros,niños_total,ingreso_anual,comprador_bici,gasto_mensual_medio,edad,escolaridad_Bachelors,escolaridad_Graduate Degree,escolaridad_High School,escolaridad_Partial College,escolaridad_Partial High School,ocupación_Clerical,ocupación_Management,ocupación_Manual,ocupación_Professional,ocupación_Skilled Manual,género_F,género_M,estado_civil_M,estado_civil_S
3945,0,0,0,28457,0,45.61,28,0,0,0,1,0,0,0,1,0,0,0,1,1,0
3946,1,0,0,132443,1,53.88,38,1,0,0,0,0,0,0,0,1,0,0,1,0,1
3947,0,0,1,60409,0,48.97,32,0,0,0,0,1,0,0,0,0,1,0,1,1,0
3948,1,0,0,129970,1,55.93,46,1,0,0,0,0,0,0,0,1,0,1,0,0,1
3949,0,3,0,85825,0,51.92,30,1,0,0,0,0,1,0,0,0,0,1,0,0,1
3950,1,2,2,77153,1,59.05,47,0,0,1,0,0,1,0,0,0,0,0,1,1,0
3951,0,2,0,85173,0,53.95,37,1,0,0,0,0,1,0,0,0,0,0,1,0,1
3952,1,1,2,109759,1,53.64,53,0,0,0,1,0,0,1,0,0,0,1,0,1,0
3953,1,3,1,78530,1,49.9,65,0,1,0,0,0,1,0,0,0,0,0,1,0,1
3954,0,0,0,57880,1,50.47,32,0,0,0,1,0,0,0,0,0,1,1,0,0,1
3955,1,0,0,62422,1,59.8,47,0,0,0,1,0,0,0,0,0,1,0,1,0,1
3956,1,0,2,34054,0,46.83,51,0,0,0,0,1,0,0,1,0,0,1,0,1,0
3957,0,2,0,85473,1,51.81,24,0,0,0,1,0,1,0,0,0,0,1,0,0,1
3958,0,0,0,59270,1,50.55,31,0,1,0,0,0,0,0,0,0,1,0,1,0,1
3959,0,0,0,79259,0,53.41,27,0,0,1,0,0,1,0,0,0,0,1,0,0,1
3960,1,0,2,110046,1,51.42,62,1,0,0,0,0,0,1,0,0,0,1,0,1,0
3961,1,0,1,56399,1,48.74,57,1,0,0,0,0,0,0,0,0,1,0,1,0,1
3962,0,2,0,83050,1,51.65,35,0,1,0,0,0,1,0,0,0,0,1,0,0,1
3963,1,2,0,105993,1,51.85,33,1,0,0,0,0,0,1,0,0,0,1,0,1,0
3964,1,1,1,28883,0,49.11,51,0,0,1,0,0,0,0,1,0,0,1,0,1,0
3965,1,1,1,103937,1,53.25,35,0,1,0,0,0,0,1,0,0,0,1,0,1,0
3966,1,1,0,111356,0,53.78,40,0,0,0,1,0,0,1,0,0,0,1,0,0,1
3967,0,2,0,59479,1,52.64,33,0,0,0,0,1,0,0,0,0,1,1,0,0,1
3968,0,2,0,78348,1,54.23,28,0,0,0,1,0,1,0,0,0,0,0,1,0,1
3969,1,0,1,132452,0,53.25,39,0,1,0,0,0,0,0,0,1,0,0,1,1,0
3970,0,1,0,27403,0,52.97,44,1,0,0,0,0,0,0,1,0,0,0,1,0,1
3971,0,3,0,111207,0,53.65,28,1,0,0,0,0,0,1,0,0,0,1,0,0,1
3972,1,2,1,53205,1,49.8,76,0,0,1,0,0,0,0,0,0,1,1,0,0,1
3973,1,1,2,53643,1,48.31,52,0,0,0,1,0,0,0,0,0,1,1,0,1,0
3974,1,2,2,110907,1,51.05,61,1,0,0,0,0,0,1,0,0,0,1,0,1,0
3975,0,3,0,81428,0,53.22,28,0,0,0,1,0,1,0,0,0,0,1,0,0,1
3976,1,1,0,83677,1,55.83,48,0,0,1,0,0,1,0,0,0,0,0,1,0,1
3977,0,0,0,26022,0,44.16,43,0,0,0,1,0,0,0,1,0,0,1,0,0,1
3978,1,0,0,80900,0,50.23,45,0,1,0,0,0,1,0,0,0,0,1,0,0,1
3979,1,0,1,59346,1,52.13,41,0,0,0,1,0,0,0,0,0,1,1,0,1,0
3980,0,2,0,78796,1,51.13,29,0,0,0,1,0,1,0,0,0,0,1,0,0,1
3981,0,1,2,60078,0,48.88,34,1,0,0,0,0,0,0,0,0,1,0,1,1,0
3982,1,2,0,85579,1,52.64,53,0,0,0,1,0,1,0,0,0,0,0,1,0,1
3983,1,1,2,80245,1,50.91,53,0,0,0,1,0,1,0,0,0,0,0,1,1,0
3984,0,1,0,81204,0,63.94,37,0,0,1,0,0,1,0,0,0,0,0,1,0,1
3985,1,2,2,57912,0,50.34,49,0,0,0,1,0,0,0,0,0,1,0,1,1,0
3986,1,1,2,55579,1,49.22,52,0,0,1,0,0,0,0,0,0,1,1,0,1,0
3987,0,2,0,86742,1,53.63,24,0,0,1,0,0,1,0,0,0,0,1,0,0,1
3988,1,0,2,34336,1,46.31,56,0,0,1,0,0,0,0,1,0,0,1,0,1,0
3989,0,1,0,33025,0,48.07,39,0,0,0,1,0,0,0,1,0,0,0,1,0,1
3990,1,1,0,61323,1,58.65,49,0,0,1,0,0,0,0,0,0,1,0,1,0,1
3991,1,0,1,33463,0,46.76,59,1,0,0,0,0,0,0,1,0,0,1,0,0,1
3992,1,1,1,83145,0,51.68,64,0,1,0,0,0,1,0,0,0,0,1,0,0,1
3993,1,0,2,57304,1,51.81,45,1,0,0,0,0,0,0,0,0,1,0,1,1,0
3994,1,1,2,57973,1,50.8,51,0,0,1,0,0,0,0,0,0,1,0,1,1,0
3995,0,0,0,58589,0,53.26,26,0,0,0,1,0,0,0,0,0,1,1,0,0,1
3996,1,2,2,84794,1,52.34,53,0,0,0,1,0,1,0,0,0,0,1,0,1,0
3997,1,2,0,80629,1,51.47,43,0,0,0,1,0,1,0,0,0,0,1,0,0,1
3998,0,0,0,55099,1,47.8,29,0,1,0,0,0,0,0,0,0,1,1,0,0,1
3999,0,0,0,78890,0,62.38,37,1,0,0,0,0,1,0,0,0,0,0,1,0,1
4000,1,1,0,34816,0,46.19,55,0,0,1,0,0,0,0,1,0,0,1,0,0,1
4001,1,2,1,61381,0,49.52,55,1,0,0,0,0,0,0,0,0,1,0,1,1,0
4002,1,1,2,57786,1,48.74,49,0,0,0,0,1,0,0,0,0,1,1,0,1,0
4003,1,1,2,53048,0,47.92,56,0,0,0,1,0,0,0,0,0,1,0,1,1,0
4004,1,2,0,137044,1,53.49,38,0,1,0,0,0,0,0,0,1,0,1,0,0,1
4005,1,1,2,60744,1,52.02,50,1,0,0,0,0,0,0,0,0,1,1,0,1,0
4006,1,0,0,132074,1,55.03,37,0,1,0,0,0,0,0,0,1,0,0,1,0,1
4007,0,1,0,79846,0,50.51,26,0,0,1,0,0,1,0,0,0,0,1,0,0,1
4008,0,1,0,59319,0,47.85,45,1,0,0,0,0,0,0,0,0,1,1,0,0,1
4009,1,3,2,109687,1,56.48,47,0,0,0,1,0,0,1,0,0,0,0,1,1,0
4010,1,3,0,105100,1,51.25,32,0,1,0,0,0,0,1,0,0,0,1,0,1,0
4011,1,0,2,83047,1,51.08,44,1,0,0,0,0,1,0,0,0,0,1,0,1,0
4012,1,0,2,110138,1,51.15,48,0,0,0,1,0,0,1,0,0,0,0,1,1,0
4013,1,0,2,52180,0,48.02,49,0,0,0,1,0,0,0,0,0,1,1,0,1,0
4014,1,1,2,55490,0,48.68,54,0,0,0,1,0,0,0,0,0,1,1,0,1,0
4015,1,2,1,51559,1,47.65,46,1,0,0,0,0,0,0,0,0,1,1,0,1,0
4016,1,2,0,133196,1,51.97,33,0,1,0,0,0,0,0,0,1,0,1,0,1,0
4017,0,1,0,55939,0,48.7,31,0,0,0,0,1,0,0,0,0,1,0,1,0,1
4018,1,2,2,51674,1,55.7,52,0,0,1,0,0,0,0,0,0,1,0,1,1,0
4019,0,0,0,104380,1,54.24,33,0,0,0,1,0,0,1,0,0,0,1,0,0,1
4020,0,2,0,50972,1,51.64,23,0,0,1,0,0,0,0,0,0,1,1,0,0,1
4021,0,1,0,35061,0,50.3,46,0,0,1,0,0,0,0,1,0,0,1,0,0,1
4022,0,1,2,54193,1,48.17,34,0,0,0,1,0,0,0,0,0,1,1,0,1,0
4023,0,0,1,26103,0,44.66,32,0,1,0,0,0,0,0,1,0,0,1,0,1,0
4024,1,1,1,56443,0,49.96,45,0,0,0,1,0,0,0,0,0,1,0,1,1,0
4025,0,1,0,112734,0,52.68,34,0,1,0,0,0,0,1,0,0,0,1,0,0,1
4026,1,2,0,52463,1,50.75,47,0,0,1,0,0,0,0,0,0,1,0,1,0,1
4027,1,1,2,78721,1,56.67,38,1,0,0,0,0,1,0,0,0,0,0,1,1,0
4028,1,1,2,51472,0,48.09,59,0,0,1,0,0,0,0,0,0,1,0,1,1,0
4029,1,0,2,30308,0,51.88,55,0,0,0,1,0,0,0,1,0,0,0,1,1,0
4030,1,2,2,51658,1,50.34,47,0,0,1,0,0,0,0,0,0,1,1,0,1,0
4031,1,1,2,85849,1,53.59,51,0,0,0,1,0,1,0,0,0,0,1,0,1,0
4032,1,1,2,53709,1,49.5,60,0,0,0,1,0,0,0,0,0,1,1,0,1,0
4033,1,0,0,79477,1,53.35,43,1,0,0,0,0,1,0,0,0,0,0,1,0,1
4034,1,2,0,57616,1,62.25,55,1,0,0,0,0,0,0,0,0,1,0,1,0,1
4035,1,1,2,104549,1,53.18,64,0,1,0,0,0,0,1,0,0,0,0,1,1,0
4036,1,2,2,79222,1,53.33,32,0,1,0,0,0,1,0,0,0,0,1,0,1,0
4037,1,1,2,33665,1,54.06,54,0,0,1,0,0,0,0,1,0,0,0,1,1,0
4038,1,2,1,87500,1,58.36,38,1,0,0,0,0,1,0,0,0,0,0,1,1,0
4039,0,1,0,79771,0,52.73,33,0,0,0,1,0,1,0,0,0,0,0,1,0,1
4040,0,1,0,53211,0,49.52,41,0,0,0,1,0,0,0,0,0,1,1,0,0,1
4041,0,2,2,52020,1,48.02,33,0,0,0,0,1,0,0,0,0,1,1,0,1,0
4042,0,2,0,61038,1,51.45,31,0,0,1,0,0,0,0,0,0,1,1,0,0,1
4043,1,3,2,107205,1,51.12,44,1,0,0,0,0,0,1,0,0,0,1,0,1,0
4044,1,2,1,51192,1,50.52,46,0,0,1,0,0,0,0,0,0,1,1,0,1,0
4045,0,1,0,54122,0,50.36,44,1,0,0,0,0,0,0,0,0,1,1,0,0,1
4046,1,1,2,36762,0,51.45,52,0,0,1,0,0,0,0,1,0,0,0,1,1,0
4047,1,1,2,52304,1,58.78,53,0,0,0,1,0,0,0,0,0,1,0,1,1,0
4048,1,3,2,111583,1,51.17,38,1,0,0,0,0,0,1,0,0,0,1,0,1,0
4049,0,2,0,51801,0,48.08,26,0,0,0,1,0,0,0,0,0,1,0,1,0,1
4050,0,3,0,79904,1,50.08,27,0,0,0,1,0,1,0,0,0,0,0,1,0,1
4051,1,2,2,112536,0,51.09,55,0,0,0,1,0,0,1,0,0,0,1,0,1,0
4052,1,1,2,58563,1,50.76,42,0,0,0,1,0,0,0,0,0,1,0,1,1,0
4053,1,3,2,110130,1,62.37,50,0,0,0,1,0,0,1,0,0,0,0,1,1,0
4054,0,0,0,52318,1,51.67,33,0,0,1,0,0,0,0,0,0,1,0,1,0,1
4055,0,1,0,86819,0,54.82,27,1,0,0,0,0,1,0,0,0,0,1,0,0,1
4056,1,2,2,86173,1,49.74,48,0,0,0,1,0,1,0,0,0,0,1,0,1,0
4057,1,0,2,28638,0,47.56,48,0,0,1,0,0,0,0,1,0,0,0,1,1,0
4058,0,0,0,25648,0,48.61,49,0,0,0,0,1,0,0,1,0,0,1,0,0,1
4059,0,3,0,78416,1,53.16,37,1,0,0,0,0,1,0,0,0,0,0,1,0,1
4060,0,1,0,30790,0,45.38,23,0,0,0,0,1,0,0,1,0,0,1,0,0,1
4061,1,1,0,84277,0,50.92,50,0,0,0,1,0,1,0,0,0,0,1,0,0,1
4062,1,1,0,58140,1,56.76,46,0,0,0,1,0,0,0,0,0,1,0,1,0,1
4063,0,1,0,58616,0,48.84,30,0,0,1,0,0,0,0,0,0,1,1,0,1,0
4064,1,1,2,30248,0,52.0,48,0,0,1,0,0,0,0,1,0,0,0,1,1,0
4065,0,1,0,79586,0,52.44,32,0,0,1,0,0,1,0,0,0,0,1,0,0,1
4066,0,2,0,61868,1,49.5,37,1,0,0,0,0,0,0,0,0,1,1,0,0,1
4067,0,1,0,57104,0,48.59,26,0,0,1,0,0,0,0,0,0,1,1,0,1,0
4068,1,2,1,105312,1,55.55,64,0,1,0,0,0,0,1,0,0,0,1,0,0,1
4069,1,1,0,109109,0,55.61,37,0,1,0,0,0,0,1,0,0,0,0,1,0,1
4070,1,1,1,81872,1,53.96,39,1,0,0,0,0,1,0,0,0,0,0,1,1,0
4071,1,0,0,129262,1,55.71,37,0,1,0,0,0,0,0,0,1,0,1,0,0,1
4072,0,2,0,53408,1,51.68,37,0,0,1,0,0,0,0,0,0,1,1,0,0,1
4073,0,1,0,51026,0,52.05,26,0,0,0,1,0,0,0,0,0,1,1,0,0,1
4074,0,2,0,131577,1,54.46,30,0,1,0,0,0,0,0,0,1,0,1,0,0,1
4075,0,3,0,84417,1,49.51,27,0,0,0,1,0,1,0,0,0,0,0,1,1,0
4076,0,1,0,77117,0,53.44,40,0,0,1,0,0,1,0,0,0,0,1,0,0,1
4077,0,1,0,59035,0,52.57,39,0,0,0,0,1,0,0,0,0,1,1,0,0,1
4078,1,1,1,57833,1,51.17,70,1,0,0,0,0,0,0,0,0,1,0,1,0,1
4079,1,1,2,107563,1,54.4,49,0,0,0,1,0,0,1,0,0,0,1,0,1,0
4080,0,1,0,35356,0,59.07,42,0,0,0,1,0,0,0,1,0,0,0,1,0,1
4081,0,0,0,29986,0,46.36,25,0,0,1,0,0,0,0,1,0,0,0,1,1,0
4082,1,1,2,85584,0,50.85,31,1,0,0,0,0,1,0,0,0,0,1,0,1,0
4083,0,2,0,107590,1,53.92,28,0,0,0,1,0,0,1,0,0,0,0,1,0,1
4084,1,1,2,35836,1,56.57,54,0,0,1,0,0,0,0,1,0,0,0,1,1,0
4085,1,1,2,109943,0,52.19,39,1,0,0,0,0,0,1,0,0,0,1,0,1,0
4086,0,0,0,59900,0,48.42,25,0,0,0,1,0,0,0,0,0,1,0,1,1,0
4087,0,0,0,109826,1,54.42,28,0,0,0,1,0,0,1,0,0,0,1,0,0,1
4088,1,1,2,31850,1,47.12,52,0,0,1,0,0,0,0,1,0,0,1,0,1,0
4089,1,3,0,128240,0,51.4,34,0,1,0,0,0,0,0,0,1,0,1,0,1,0
4090,1,0,1,109236,1,53.48,42,1,0,0,0,0,0,1,0,0,0,1,0,1,0
4091,1,1,2,60689,1,50.92,70,0,1,0,0,0,0,0,0,0,1,0,1,1,0
4092,1,1,2,79040,1,61.35,51,0,0,0,1,0,1,0,0,0,0,0,1,1,0
4093,1,1,2,76967,1,52.94,38,1,0,0,0,0,1,0,0,0,0,1,0,1,0
4094,1,0,2,132737,1,54.43,44,0,1,0,0,0,0,0,0,1,0,1,0,1,0
4095,1,0,0,103365,1,55.16,40,1,0,0,0,0,0,1,0,0,0,0,1,0,1
4096,1,2,0,109608,1,50.48,28,1,0,0,0,0,0,1,0,0,0,0,1,1,0
4097,1,2,2,78360,1,57.33,48,0,0,0,1,0,1,0,0,0,0,0,1,1,0
4098,1,1,2,111596,1,53.16,35,1,0,0,0,0,0,1,0,0,0,1,0,1,0
4099,0,0,0,26392,0,46.15,26,0,0,0,0,1,0,0,1,0,0,1,0,0,1
4100,0,1,0,53106,0,52.68,38,0,0,0,1,0,0,0,0,0,1,1,0,0,1
4101,1,2,2,133613,1,56.54,33,0,1,0,0,0,0,0,0,1,0,1,0,1,0
4102,1,2,2,51138,0,48.37,58,0,0,0,0,1,0,0,0,0,1,0,1,1,0
4103,1,1,1,56964,0,49.12,45,0,0,1,0,0,0,0,0,0,1,1,0,1,0
4104,1,0,1,33468,0,46.48,52,0,0,0,0,1,0,0,1,0,0,1,0,1,0
4105,1,2,1,111118,1,52.53,35,1,0,0,0,0,0,1,0,0,0,1,0,1,0
4106,1,1,0,61454,0,49.15,48,0,0,1,0,0,0,0,0,0,1,1,0,0,1
4107,0,0,0,59835,1,50.03,25,0,0,0,0,1,0,0,0,0,1,1,0,0,1
4108,0,1,0,37056,0,47.46,32,0,1,0,0,0,0,0,1,0,0,0,1,0,1
4109,1,3,1,81374,1,55.74,43,0,0,0,1,0,1,0,0,0,0,0,1,1,0
4110,0,0,0,33336,0,46.38,30,1,0,0,0,0,0,0,1,0,0,0,1,1,0
4111,0,2,0,59306,0,48.69,33,0,0,1,0,0,0,0,0,0,1,1,0,0,1
4112,0,0,2,62032,1,48.56,35,0,1,0,0,0,0,0,0,0,1,1,0,1,0
4113,0,3,0,110186,1,54.62,30,0,0,0,1,0,0,1,0,0,0,0,1,0,1
4114,1,3,0,129483,1,58.16,38,1,0,0,0,0,0,0,0,1,0,0,1,0,1
4115,1,0,2,34585,0,50.83,54,0,0,1,0,0,0,0,1,0,0,0,1,1,0
4116,0,1,0,56286,0,48.96,30,0,0,0,1,0,0,0,0,0,1,1,0,1,0
4117,1,3,0,105291,0,51.71,40,1,0,0,0,0,0,1,0,0,0,1,0,1,0
4118,1,1,2,51988,1,48.43,57,1,0,0,0,0,0,0,0,0,1,0,1,1,0
4119,1,1,2,81259,1,56.32,49,0,0,0,1,0,1,0,0,0,0,0,1,1,0
4120,0,0,0,62279,0,52.55,35,0,0,1,0,0,0,0,0,0,1,0,1,0,1
4121,1,2,0,135420,1,51.77,45,1,0,0,0,0,0,0,0,1,0,1,0,1,0
4122,0,1,0,32445,0,45.77,24,0,0,1,0,0,0,0,1,0,0,1,0,1,0
4123,1,1,0,82908,1,57.54,47,0,0,1,0,0,1,0,0,0,0,0,1,0,1
4124,0,2,0,82066,1,51.62,39,1,0,0,0,0,1,0,0,0,0,1,0,0,1
4125,1,0,2,32531,0,52.84,56,0,0,0,0,1,0,0,1,0,0,0,1,1,0
4126,1,2,2,105397,1,51.12,61,1,0,0,0,0,0,1,0,0,0,1,0,1,0
4127,1,0,0,82282,1,56.09,46,0,0,1,0,0,1,0,0,0,0,0,1,0,1
4128,0,1,0,62499,0,53.63,37,0,1,0,0,0,0,0,0,0,1,0,1,0,1
4129,0,0,0,32457,0,48.42,50,0,0,0,0,1,0,0,1,0,0,1,0,0,1
4130,1,2,1,59438,0,50.61,65,0,1,0,0,0,0,0,0,0,1,1,0,0,1
4131,1,0,0,102937,1,50.71,31,1,0,0,0,0,0,1,0,0,0,0,1,1,0
4132,0,1,0,55278,1,52.38,23,0,0,0,1,0,0,0,0,0,1,0,1,0,1
4133,0,1,0,54015,0,51.48,29,0,0,0,1,0,0,0,0,0,1,1,0,0,1
4134,1,0,1,29744,0,46.79,57,0,0,0,1,0,0,0,1,0,0,0,1,0,1
4135,0,1,0,110900,0,53.87,27,1,0,0,0,0,0,1,0,0,0,0,1,0,1
4136,1,0,1,52918,1,51.63,39,1,0,0,0,0,0,0,0,0,1,0,1,1,0
4137,0,0,2,35720,1,47.03,37,1,0,0,0,0,0,0,1,0,0,1,0,1,0
4138,0,0,0,50912,0,49.34,32,0,0,1,0,0,0,0,0,0,1,1,0,0,1
4139,1,1,0,86149,1,54.5,43,0,0,1,0,0,1,0,0,0,0,0,1,0,1
4140,1,1,2,86521,1,49.86,37,1,0,0,0,0,1,0,0,0,0,1,0,1,0
4141,0,2,0,54807,1,47.74,30,0,0,0,1,0,0,0,0,0,1,0,1,0,1
4142,0,1,0,111805,1,53.0,23,1,0,0,0,0,0,1,0,0,0,0,1,0,1
4143,1,2,2,86967,1,51.54,46,0,0,0,1,0,1,0,0,0,0,1,0,1,0
4144,1,2,2,132743,0,59.43,41,0,1,0,0,0,0,0,0,1,0,0,1,1,0
4145,0,1,0,58868,0,50.57,40,0,0,1,0,0,0,0,0,0,1,0,1,0,1
4146,1,3,2,101843,1,50.61,36,1,0,0,0,0,0,1,0,0,0,1,0,1,0
4147,1,1,0,82449,0,53.99,53,0,0,0,1,0,1,0,0,0,0,1,0,0,1
4148,1,1,2,58808,1,53.62,42,0,0,0,1,0,0,0,0,0,1,0,1,1,0
4149,1,0,2,33605,0,49.61,54,0,0,0,0,1,0,0,1,0,0,1,0,1,0
4150,1,3,1,107338,0,56.3,42,0,0,0,1,0,0,1,0,0,0,0,1,1,0
4151,1,1,2,55443,1,48.97,43,0,0,0,1,0,0,0,0,0,1,1,0,1,0
4152,0,2,2,61689,1,48.36,32,0,0,0,0,1,0,0,0,0,1,0,1,1,0
4153,0,0,0,54237,0,52.37,24,0,0,1,0,0,0,0,0,0,1,1,0,0,1
4154,1,1,1,58143,0,53.6,49,0,0,0,0,1,0,0,0,0,1,0,1,1,0
4155,1,2,0,135556,0,51.7,34,0,1,0,0,0,0,0,0,1,0,1,0,0,1
4156,1,0,2,26334,0,45.72,47,0,0,0,1,0,0,0,1,0,0,1,0,1,0
4157,1,0,1,103007,1,58.01,44,0,1,0,0,0,0,1,0,0,0,0,1,1,0
4158,1,2,1,58667,0,51.09,41,1,0,0,0,0,0,0,0,0,1,0,1,1,0
4159,1,1,0,82689,0,49.84,46,0,0,1,0,0,1,0,0,0,0,1,0,0,1
4160,1,1,2,26479,0,47.21,61,1,0,0,0,0,0,0,1,0,0,1,0,1,0
4161,1,0,1,59723,1,51.04,58,0,0,0,1,0,0,0,0,0,1,0,1,0,1
4162,0,0,0,84030,1,53.22,35,0,0,0,1,0,1,0,0,0,0,0,1,0,1
4163,1,2,2,54451,1,54.11,43,0,0,0,1,0,0,0,0,0,1,0,1,1,0
4164,1,0,2,26884,0,45.54,51,0,0,0,1,0,0,0,1,0,0,1,0,1,0
4165,1,1,1,29971,0,45.69,46,0,0,0,1,0,0,0,1,0,0,1,0,1,0
4166,1,1,2,56463,0,49.0,59,0,0,1,0,0,0,0,0,0,1,1,0,1,0
4167,1,0,2,51706,1,48.48,55,1,0,0,0,0,0,0,0,0,1,1,0,1,0
4168,0,1,0,55052,0,50.43,24,0,0,1,0,0,0,0,0,0,1,1,0,0,1
4169,1,1,0,51313,1,53.79,54,0,0,1,0,0,0,0,0,0,1,0,1,0,1
4170,1,1,2,56999,0,48.85,48,0,0,1,0,0,0,0,0,0,1,0,1,1,0
4171,1,1,2,53201,1,52.32,38,0,0,0,1,0,0,0,0,0,1,0,1,1,0
4172,1,0,2,131143,1,52.17,36,1,0,0,0,0,0,0,0,1,0,0,1,1,0
4173,0,0,0,61074,1,53.36,34,0,0,0,1,0,0,0,0,0,1,0,1,0,1
4174,0,0,2,62106,1,51.09,33,0,0,1,0,0,0,0,0,0,1,0,1,1,0
4175,0,2,0,82850,0,49.81,28,0,0,1,0,0,1,0,0,0,0,0,1,1,0
4176,1,0,2,81169,1,53.54,40,1,0,0,0,0,1,0,0,0,0,1,0,1,0
4177,0,0,0,53286,0,47.62,30,0,0,1,0,0,0,0,0,0,1,1,0,1,0
4178,0,3,0,106846,0,53.67,34,0,1,0,0,0,0,1,0,0,0,0,1,0,1
4179,1,1,2,104574,1,52.52,70,0,1,0,0,0,0,1,0,0,0,0,1,1,0
4180,1,3,2,109818,1,51.26,66,0,1,0,0,0,0,1,0,0,0,1,0,1,0
4181,1,2,0,57398,1,52.15,46,0,0,1,0,0,0,0,0,0,1,1,0,0,1
4182,0,0,0,57362,1,47.97,36,0,0,0,1,0,0,0,0,0,1,0,1,0,1
4183,1,0,2,33099,1,48.85,62,1,0,0,0,0,0,0,1,0,0,1,0,1,0
4184,1,1,2,77732,1,54.2,66,1,0,0,0,0,1,0,0,0,0,1,0,1,0
4185,0,2,0,77431,0,51.99,27,0,0,0,1,0,1,0,0,0,0,1,0,0,1
4186,1,2,2,130408,1,54.79,65,0,1,0,0,0,0,0,0,1,0,1,0,1,0
4187,1,3,1,108646,1,63.17,42,0,0,0,1,0,0,1,0,0,0,0,1,1,0
4188,0,2,0,84735,1,51.17,31,0,0,0,1,0,1,0,0,0,0,1,0,0,1
4189,0,2,0,80355,1,49.6,30,0,1,0,0,0,1,0,0,0,0,1,0,1,0
4190,0,1,0,81117,1,50.05,30,1,0,0,0,0,1,0,0,0,0,1,0,1,0
4191,0,1,0,103901,0,55.1,30,0,0,0,1,0,0,1,0,0,0,1,0,0,1
4192,0,3,0,109086,1,50.62,35,1,0,0,0,0,0,1,0,0,0,1,0,0,1
4193,1,1,2,112918,1,54.85,35,0,1,0,0,0,0,1,0,0,0,0,1,1,0
4194,0,0,2,28840,0,50.5,39,0,0,0,1,0,0,0,1,0,0,0,1,1,0
4195,0,2,0,107925,0,50.49,30,0,0,0,1,0,0,1,0,0,0,0,1,0,1
4196,1,0,2,25787,0,49.33,48,0,0,1,0,0,0,0,1,0,0,0,1,1,0
4197,0,1,0,36297,0,47.06,49,0,0,0,0,1,0,0,1,0,0,1,0,0,1
4198,0,0,0,27424,0,49.07,40,0,0,0,1,0,0,0,1,0,0,0,1,0,1
4199,1,2,0,59015,1,54.41,50,1,0,0,0,0,0,0,0,0,1,0,1,0,1
4200,1,3,0,128162,1,51.96,30,0,1,0,0,0,0,0,0,1,0,0,1,1,0
4201,0,2,0,56450,1,52.23,43,0,0,1,0,0,0,0,0,0,1,1,0,0,1
4202,1,1,2,107082,1,55.59,50,1,0,0,0,0,0,1,0,0,0,0,1,1,0
4203,1,1,2,60069,0,48.17,58,0,0,0,0,1,0,0,0,0,1,0,1,1,0
4204,1,2,0,84920,1,58.52,49,0,0,1,0,0,1,0,0,0,0,0,1,0,1
4205,0,3,0,111659,1,52.97,28,1,0,0,0,0,0,1,0,0,0,0,1,0,1
4206,1,2,1,108312,0,52.82,70,0,1,0,0,0,0,1,0,0,0,1,0,0,1
4207,0,2,0,55547,0,52.39,26,0,0,0,0,1,0,0,0,0,1,1,0,0,1
4208,0,1,0,80610,1,51.81,29,0,0,0,1,0,1,0,0,0,0,0,1,0,1
4209,1,1,2,32932,0,48.51,57,0,0,0,1,0,0,0,1,0,0,1,0,1,0
4210,0,1,0,82008,0,53.88,29,0,0,0,1,0,1,0,0,0,0,1,0,0,1
4211,1,2,1,84818,0,53.47,64,1,0,0,0,0,1,0,0,0,0,1,0,0,1
4212,1,1,2,77945,0,49.46,56,0,0,0,1,0,1,0,0,0,0,0,1,1,0
4213,1,2,0,134412,1,52.98,39,0,1,0,0,0,0,0,0,1,0,0,1,1,0
4214,0,2,0,61307,1,48.65,24,0,0,1,0,0,0,0,0,0,1,1,0,1,0
4215,1,2,0,104758,0,53.45,41,1,0,0,0,0,0,1,0,0,0,1,0,0,1
4216,1,2,2,86727,1,55.12,45,0,1,0,0,0,1,0,0,0,0,1,0,1,0
4217,0,1,0,55326,0,48.19,32,0,0,0,1,0,0,0,0,0,1,1,0,0,1
4218,1,2,0,110434,0,51.59,44,0,1,0,0,0,0,1,0,0,0,1,0,1,0
4219,0,0,0,34807,1,47.89,27,0,0,0,1,0,0,0,1,0,0,1,0,0,1
4220,1,1,2,32579,0,57.82,48,0,0,0,0,1,0,0,1,0,0,0,1,1,0
4221,1,3,2,109840,1,58.79,41,0,0,0,1,0,0,1,0,0,0,0,1,1,0
4222,0,0,0,87830,1,50.25,27,1,0,0,0,0,1,0,0,0,0,0,1,1,0
4223,0,1,0,51420,0,49.58,29,0,0,1,0,0,0,0,0,0,1,1,0,0,1
4224,0,1,0,51446,0,47.99,24,0,0,0,0,1,0,0,0,0,1,0,1,1,0
4225,1,1,0,83403,0,52.72,42,1,0,0,0,0,1,0,0,0,0,0,1,0,1
4226,0,0,0,85351,1,51.34,36,0,0,0,1,0,1,0,0,0,0,1,0,0,1
4227,1,0,1,51366,1,48.32,57,0,0,0,1,0,0,0,0,0,1,0,1,0,1
4228,0,0,0,55454,1,52.61,27,0,0,1,0,0,0,0,0,0,1,1,0,0,1
4229,1,0,2,32957,0,54.94,45,0,1,0,0,0,0,0,1,0,0,0,1,1,0
4230,0,2,0,51459,1,52.45,32,0,0,1,0,0,0,0,0,0,1,0,1,0,1
4231,0,1,0,56461,1,54.65,45,0,0,0,1,0,0,0,0,0,1,0,1,0,1
